provinsi,lokasi_lintang,lokasi_bujur,jumlah_kasus,jumlah_sembuh,jumlah_meninggal,jumlah_dirawat,laki_laki,perempuan,usia_0_5,usia_6_18,usia_19_30,usia_31_45,usia_46_59,usia_60_keatas
ACEH,4.225614628,96.91052174,8301,6631,329,1341,4052,4231,180,444,1927,2938,1967,827
BALI,-8.369471688,115.1317136,13988,12466,428,1094,7218,6765,276,869,3569,3818,3541,1831
BANTEN,-6.456736388,106.1090043,13215,8830,334,4051,6470,6730,331,1234,3065,4097,3315,1080
BENGKULU,-3.533583627,102.3384213,1842,1427,77,338,778,986,35,152,410,613,399,213
DAERAH ISTIMEWA YOGYAKARTA,-7.89450185,110.4448783,6073,4471,147,1455,2762,3308,182,849,1477,1358,1315,636
DKI JAKARTA,-6.204698991,106.8361183,137919,125008,2683,10228,69088,66593,3600,9931,33950,40993,29429,14283
GORONTALO,0.687002604,122.3760581,3110,2970,90,50,1528,1580,56,159,1113,1065,522,153
JAMBI,-1.69769766,102.7236404,1993,1384,37,572,665,603,56,281,491,596,364,154
JAWA BARAT,-6.920432083,107.6037083,53395,44509,922,7964,26912,25410,1785,6487,12655,15456,11107,4381
JAWA TENGAH,-7.259097177,110.2011149,56626,40369,2368,13889,17346,19436,1656,5497,11761,15187,14735,7569
JAWA TIMUR,-7.723345579,112.7329414,62313,54863,4438,3012,30024,32118,1012,4306,12338,17354,17795,8818
KALIMANTAN BARAT,-0.086474572,111.1211776,2438,2055,22,361,1331,1094,59,195,597,709,586,242
KALIMANTAN SELATAN,-2.993594979,115.4385783,13281,11794,532,955,6839,6241,385,1234,3273,4000,2980,1074
KALIMANTAN TENGAH,-1.602484653,113.4176536,6122,4681,194,1247,3101,2928,193,641,1606,1879,1331,403
KALIMANTAN TIMUR,0.45385803,116.4684405,19748,16384,561,2803,11691,7665,415,1349,4702,6172,3807,1269
KALIMANTAN UTARA,2.891012621,116.2188791,1523,995,18,510,932,591,29,122,447,529,302,90
KEPULAUAN BANGKA BELITUNG,-2.447444127,106.5499324,1036,876,14,146,608,427,35,166,229,325,191,74
KEPULAUAN RIAU,3.916346,108.261746,5490,4189,138,1163,2829,2645,165,520,1621,1765,1019,308
LAMPUNG,-4.916792975,105.0214366,3939,2025,135,1779,1920,2019,90,302,796,1145,920,403
MALUKU,-3.192572,129.576792,4620,3797,61,762,2173,2354,65,388,1278,1604,920,259
MALUKU UTARA,0.212036949,127.5391072,2376,1981,81,314,1235,929,37,116,689,767,392,136
NUSA TENGGARA BARAT,-8.606998866,117.5086257,4697,3739,242,716,2297,2397,120,333,1293,1480,919,538
NUSA TENGGARA TIMUR,-8.682205,121.592271,1242,725,19,498,746,489,21,105,501,302,190,76
PAPUA,-4.66620953,138.69603,10094,5030,140,4924,4441,3831,250,757,2768,3399,1945,471
PAPUA BARAT,-2.045160182,132.9762624,5352,4578,88,686,2894,2446,168,479,1713,1850,833,251
RIAU,0.511647851,101.8051092,20238,17823,459,1956,10480,9741,712,2343,5052,6408,4146,1443
SULAWESI BARAT,-2.461746053,119.3450194,1473,1297,21,155,670,803,18,541,347,304,179,82
SULAWESI SELATAN,-3.731080714,120.1620559,20804,18603,497,1704,9925,10734,470,1476,5350,6206,3720,1563
SULAWESI TENGAH,-1.00413668,121.2010927,1872,1126,72,674,920,900,29,98,418,421,279,124
SULAWESI TENGGARA,-4.124688793,122.070311,6594,5117,108,1369,3359,3222,98,474,2117,2279,1165,412
SULAWESI UTARA,1.259638212,124.5212396,6962,5413,245,1304,3373,3479,120,462,1755,2170,1622,754
SUMATERA BARAT,-0.850253225,100.4650624,20098,15904,396,3798,9041,10355,556,2133,4764,5570,4323,1998
SUMATERA SELATAN,-3.216211808,104.1694647,9530,7677,511,1342,4769,4569,347,749,2083,2713,2058,1197
SUMATERA UTARA,2.191894453,99.05196442,15671,13029,617,2025,7361,7994,284,1160,3655,4787,3608,1684
